,date_collected,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2721,07102023-2150,14147347535,238345847,100632,Kleenfant Antibacterial Baby Laundry Wash Liquid Detergent for Newborn Babies Clothes 1 Liter,1L X 1,0,30000000,30000000,0,,,17,32,,32,0,0,0,0,32,5.0,15,81,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['3dcabaa3e5170d6b237c3e53de6cb160', 'cd84dba3e3724e725b8e78c62045ebc4', '640e21cf8f97ce7a41eb17f3b0d72b4c', 'bd1d0a84ecee1caf04aa78aa8582fdb0', '58d680a5319ad164b576c0e8067c4b43', 'edafd2eac0e8eb3a81ed1654e40c4fd0', '44c6b4e5d9f8b6e42655ff37739f8ce3', 'f252a9fdd084e778d412689d13ccf621']","[{'name': 'Volume', 'options': ['1 Liter'], 'images': None, 'properties': [], 'type': 0}]"
2722,07102023-2150,13942414650,238345847,100629,Good Day Korean Cherry Soju 360ml,360ML X 1,0,11000000,11000000,0,,,20,19,,19,0,0,0,0,19,5.0,17,61,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['16d40ca9929815e66099aed020b29ea9', 'b7822df0d8c88e4017cad1855559587b', 'd3dcb93f0da3bc3e7f785646f8112b5c']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2723,07102023-2150,13924937759,238345847,100629,Fundador Gold Reserve 700mL,,0,73900000,73900000,0,,,15,11,,11,0,0,0,0,11,5.0,8,87,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['f6e2a70fbf82b0b8ea7e16ef22c5151d', 'e64cda5932a0a57f32b3c1b59065b43a', 'dfd229a8c5215417bc97e7b254a9163c']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2724,07102023-2150,13831876129,238345847,100629,Ovaltine Premium Sticks in Display Box 36 Pieces,25G/GR X 36,0,46800000,46800000,0,,,10,24,,24,0,0,0,0,24,5.0,5,47,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['7c22a5bc4082200c995ac690679f3cbd', '37130c2fe2260de9b1f2c8bd44ae2272', '8345617e875231bf29528c7084bf3554']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2725,07102023-2150,13826185849,238345847,100631,Doggo Atlanta Strong Harness Medium Size,1Piece X 1,0,40900000,40900000,0,,,6,1,,1,0,0,0,0,1,5.0,18,4,1,False,"Cabuyao, Laguna",False,False,False,False,False,False,False,"['0a9c11019bc9bde9b7c1fd3f52aad85d', 'e42e4281254518fd036e057a773c2cc1', '316d2ebbfd67ed92d757fb190c57b07c']","[{'name': 'Pet Color', 'options': ['Black', 'Blue', 'Pink', 'Gray', 'Orange'], 'images': ['6b172e8af8a2312b0c68cb01e98679d7', 'f3da97eb5dfd7054f702eb7f05ea069e', '72f8102d15246174270f934416a54ca1', 'd578bc47aa3e8ce2956e01c0cf733423', '20599b25bf4921bdbbc021910e3d5bc7'], 'properties': [], 'type': 0}]"
2726,07102023-2150,13725124296,238345847,100629,Fundador Ultra Smooth 1L,1L X 1,0,57500000,57500000,0,,,7,23,,23,0,0,0,0,23,5.0,33,63,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['116d2fa293188155e5209895e9d3de7f', '204d613a838444b1b91e17c266c3d2f5', '78d27b88ff7689a62bcbb0f32f3c4f29']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2727,07102023-2150,13638345978,238345847,100629,Mirassou Chardonnay 750ml,750ML X 1,0,52700000,52700000,0,,,6,1,,1,0,0,0,0,1,5.0,8,4,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['965943a172e17b8ee3ce6fb36fa3129a', '79a19350662496ea012baf05aa35c1af', '1abca25f98c8e78c994214ced7881c91', 'ca89d925c2a1f506c0081893c6018f2d']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2728,07102023-2150,13637506615,238345847,100629,Gallo Family Vineyards Merlot 750ml,,0,42800000,42800000,0,,,0,2,,2,0,0,0,0,2,5.0,4,8,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['19c30a3e22b2e67c9dd9d0ac709accc7', '025c7c1d585776ad832de891697a0afa', 'a9cd344486d87dd50465efa5f1703e0a']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2729,07102023-2150,13625128757,238345847,100629,Fundador Ultra Smooth 1.75L,1.75L X 1,0,97200000,97200000,0,,,15,13,,13,0,0,0,0,13,5.0,32,38,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['871e241c9ff6bb7f9ad15b1f801aac77', '4a7dd57a2da3d158c28b82c2295becb8', 'c5cfb1f039ba0a50c5d5946de3f3e91e']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2730,07102023-2150,13537492560,238345847,100629,Naked Grape Chardonnay 750ml,750ML X 1,0,45000000,45000000,0,,,3,1,,1,0,0,0,0,1,5.0,9,3,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['66b3c2b0bdc521060ff59cb6d145ba5e', '468ce20cdd7510ec4549d6afdfe77742', 'b3659efb9cbbdb6da896ecea3d61c1e9']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2731,07102023-2150,13505460844,238345847,100001,Mighty Shield Hand Sanitizer with Moisturizer GALLON - HAND SANITIZER 1 GALLON,3.79L X 1,60800000,48600000,48600000,20,20%,,4,2,,2,0,0,0,0,2,5.0,13,3,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['c5c926f99c8662010ac626d8563afa07', 'fbbc03f5bf2513b53df9e94792c766a5', '665332ba5b912544b32ea548b4a2fff9', '09f33a2540cb530e5afd415b79349958', '81446ec189fe99bb49758c7e98a04c2e', '2ff986dc77484d1adaa205e8fedfc20f', '0ec3d671e619082a229c7556be109de0']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2732,07102023-2150,13437492228,238345847,100629,Naked Grape Cabernet Sauvignon 750ML,750ML X 1,0,45000000,45000000,0,,,10,5,,5,0,0,0,0,5,5.0,10,13,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['d0df7fb6c95fcbc269fd55e480906a84', '468ce20cdd7510ec4549d6afdfe77742', 'b3659efb9cbbdb6da896ecea3d61c1e9']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2733,07102023-2150,13381614962,238345847,100636,Lysol Disinfectant Spray Crisp Berry 340GM Twin Pack,340G/GR X 1,0,82000000,82000000,0,,,2,1,,1,0,0,0,0,1,5.0,18,2,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['60735d6e6a1420b425a0196bd4a26a1f', '81256d1072ef1b54e2d34973f11140e9', '870d4814b34c8732697baaf20f3183d3']","[{'name': 'Variations', 'options': ['Twin Pack'], 'images': None, 'properties': [], 'type': 0}]"
2734,07102023-2150,13326168087,238345847,100631,Doggo Denim Collar Medium Size,1Piece X 1,0,19900000,19900000,0,,,4,2,,2,0,0,0,0,2,5.0,28,4,1,False,"Cabuyao, Laguna",False,False,False,False,False,False,False,"['b80d462e79d017dfd8aa08f1ce058b98', 'd458743c04cbc695d10aede23ca2073a', '2a992c38692ccaf7f0d49c3faec61597', '3152569eb1be112ef7772710da735f10', 'd32a358a0a586603b9ecfc44b4e2d81a', '19907e50f108e987b1bf4c21954f6976']","[{'name': 'Color', 'options': ['Black', 'Blue', 'Pink', 'Red'], 'images': None, 'properties': [], 'type': 0}]"
2735,07102023-2150,13138568312,238345847,100636,Mighty Extreme Toilet Bowl Cleaner Original 500ML (Pack of 3),500ML X 1,0,46500000,46500000,0,,,0,1,,1,0,0,0,0,1,5.0,11,3,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['f687f902d78297460b3e31eec6856c0d', 'c528b8279cf2b1eb9bfb184fe8f6ac57', 'd4f42261578dc33cbd960386483f9250']","[{'name': 'Variations', 'options': ['1 x Bundle'], 'images': None, 'properties': [], 'type': 0}]"
