,date_collected,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,06182023-1406,12805407603,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,711,9021,,8083,557,186,91,104,9021,4.8207432057681645,8159,51091,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
1,06182023-1406,13705400379,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,257,2536,,2238,172,61,24,41,2536,4.790927021696253,3853,20235,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2,06182023-1406,12505431051,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) 500 GRAMS,500G/GR X 1,2500000,2000000,2000000,20,20%,,109,1554,,1400,94,30,13,17,1554,4.836879432624113,2218,12813,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['03afdb1f924553cbad2e816266df3825', '79e3fb698da51b27d3fae2809902643a', '4841eed8ca7f84cbfaa3b7ec63bfa985', 'e1b2a86807dc9e16eb03027af8e00e60', 'e34e73babc46752672a03dd0355ea63a', 'a497f7a694542a1913260be13666a934']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
3,06182023-1406,13474365034,238345847,100629,Maggi Magic Sarap All-In-One Seasoning Granules 8g  Pack of 16,8G/GR X 16,7000000,7000000,7000000,0,,,282,4041,,3789,123,50,20,59,4041,4.872430022293782,5972,37624,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['12bf56b779c876e6fcb8d0e651550236', 'c821b3fbe4e938488dc9136d6299dbf9', 'c6d9ad871b82cc6ff5dcf2b4d76ef444', 'f7a3fd9ea4b01859fde0a85bae73118e', '38c42ab77631e7b00940f7f447c03529', 'a41dc5938776dc81e6a48d903d904609', '6ac40d18d166eef551dce5c250056767', 'fb7d5935546c14cf062f12d87071586e']","[{'name': '1', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
4,06182023-1406,15213079078,238345847,100630,DeoPlus Tawas Powder for Underarm & Foot (50g),,1400000,1400000,1400000,0,,,1065,5754,,5371,221,86,27,49,5754,4.884735744089013,2853,33030,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['cf77adeef22c6b10de7dba1021545d87', '7d98c016daef6ce03c121bb4030cc8b0', 'c030ac0417ecbb78502ca582cddcb0b8']","[{'name': 'Color', 'options': ['White'], 'images': None, 'properties': [], 'type': 0}]"
5,06182023-1406,10185573248,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,1600000,1600000,1600000,0,,,288,2107,,1891,117,39,28,33,2108,4.805028462998102,7071,27901,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
6,06182023-1406,21637581481,238345847,100630,DEOplus Pink - Tawas Powder with Licorice Extract 50g,50G/GR X 1,1600000,1600000,1600000,0,,,522,2925,,2651,141,67,27,39,2925,4.8249572649572645,3391,15329,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['87631ba39e714d381ca61bf3171eec26', '32b57281af864874b3db3b60808913b0', '4407ca70a091510cecfc7895f40d4dd2']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
7,06182023-1406,7591877491,238345847,100636,Tisyu Coreless Compact Tissue Paper 10's 30g,30G/GR X 10,5800000,5800000,5800000,0,,,2946,10207,,9566,331,151,61,98,10207,4.8841505355212735,3681,37984,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['5ed3e13a3a4216ea6af71642bc2ed934', 'e42723b2de1e80c51cd3f346e0df8f8a', '5cec3f80b3c71a81ce676881956fa5ff', '3cdf5401e617b2fcf3f2675f712fc41f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,06182023-1406,8348384922,238345847,100629,Bear Brand Fortified Powdered Milk Drink 2.4kg,2.4KG X 1,85000000,85000000,85000000,0,,Bear Brand,1203,11482,,10936,266,116,43,121,11482,4.905762357248714,5702,32442,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['566c592a53ffa13c602085c76182f37a', 'sg-11134201-22100-pz6wi8j34wiv9c', 'sg-11134201-22100-wdyqy7j34wiv35', '32e2a56a10403d8a3c18b9fb63f7d9e3', 'sg-11134201-22100-ytils8j34wiv52']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,06182023-1406,4825340889,238345847,100630,Belo Intense White Deo Roll-On 40ml Buy 1 Take 1,40ML X 2,32000000,16000000,16000000,50,50%,Belo,4550,19841,,18527,765,318,90,142,19842,4.888216608682499,1011,54151,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['2dc788c37d197c84a8f527210b503b74', 'b62b13ca9a77f38ae32a50a746589058', '198bf388729f77b53743ec788878f608', '4c852b65f43dff1abaf288d80d52323f', '6112d45a22dff1a744fa75b12435ac90']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
