,date_collected,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,07082023-2349,12805407603,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,857,11185,,9989,716,235,117,128,11185,4.816724863461366,7825,64532,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
1,07082023-2349,13705400379,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,309,3063,,2700,216,71,29,47,3063,4.793137254901961,3971,25420,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2,07082023-2349,12505431051,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) 500 GRAMS,500G/GR X 1,2500000,2000000,2000000,20,20%,,129,2101,,1874,138,45,18,26,2101,4.818705035971223,3243,18463,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['03afdb1f924553cbad2e816266df3825', '79e3fb698da51b27d3fae2809902643a', '4841eed8ca7f84cbfaa3b7ec63bfa985', 'e1b2a86807dc9e16eb03027af8e00e60', 'e34e73babc46752672a03dd0355ea63a', 'a497f7a694542a1913260be13666a934']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
3,07082023-2349,13474365034,238345847,100629,Maggi Magic Sarap All-In-One Seasoning Granules 8g  Pack of 16,8G/GR X 16,0,7000000,7000000,0,,,311,4322,,4050,134,52,20,66,4322,4.8707735062528945,539,41995,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['12bf56b779c876e6fcb8d0e651550236', 'c821b3fbe4e938488dc9136d6299dbf9', 'c6d9ad871b82cc6ff5dcf2b4d76ef444', 'f7a3fd9ea4b01859fde0a85bae73118e', '38c42ab77631e7b00940f7f447c03529', 'a41dc5938776dc81e6a48d903d904609', '6ac40d18d166eef551dce5c250056767', 'fb7d5935546c14cf062f12d87071586e']","[{'name': '1', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
4,07082023-2349,8348384922,238345847,100629,Bear Brand Fortified Powdered Milk Drink 2.4kg,2.4KG X 1,0,85000000,85000000,0,,Bear Brand,1299,12381,,11783,292,132,47,127,12381,4.90497371613425,4083,36569,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['566c592a53ffa13c602085c76182f37a', 'sg-11134201-22100-pz6wi8j34wiv9c', 'sg-11134201-22100-wdyqy7j34wiv35', '32e2a56a10403d8a3c18b9fb63f7d9e3', 'sg-11134201-22100-ytils8j34wiv52']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
5,07082023-2349,21637581481,238345847,100630,DEOplus Pink - Tawas Powder with Licorice Extract 50g,50G/GR X 1,0,1600000,1600000,0,,,635,3551,,3223,177,75,33,43,3551,4.8315967333145595,4053,18846,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['87631ba39e714d381ca61bf3171eec26', '32b57281af864874b3db3b60808913b0', '4407ca70a091510cecfc7895f40d4dd2']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
6,07082023-2349,15213079078,238345847,100630,DeoPlus Tawas Powder for Underarm & Foot (50g),,0,1400000,1400000,0,,,1137,6203,,5768,256,95,31,53,6203,4.880019351717465,4522,35955,1,True,"Liloan, Cebu",False,False,True,False,False,False,False,"['cf77adeef22c6b10de7dba1021545d87', '7d98c016daef6ce03c121bb4030cc8b0', 'c030ac0417ecbb78502ca582cddcb0b8']","[{'name': 'Color', 'options': ['White'], 'images': None, 'properties': [], 'type': 0}]"
7,07082023-2349,11814548008,238345847,100629,Monde Special Cream Puffs Chocolate 25G,25G/GR X 1,0,1600000,1600000,0,,,1374,1741,,1492,113,61,32,43,1741,4.711085582998277,1207,12584,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['296dd71d1eb19110cd42afac15972d65', '59f4ee958d0edc90c24410379e78e736', '62da14ffb533e67fdb2eccb455bccb76', 'deb5c1940ab0fb538f8cadf12c9c9220', '7c14fe0266cf10ace8bbfd882f3dac74']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,07082023-2349,7591877491,238345847,100636,Tisyu Coreless Compact Tissue Paper 10's 30g,30G/GR X 10,5800000,5600000,5600000,3,3%,,3211,10961,,10253,365,172,64,107,10961,4.881072180038423,2849,40893,1,True,"Calamba City, Laguna",False,False,True,True,False,False,False,"['5ed3e13a3a4216ea6af71642bc2ed934', 'e42723b2de1e80c51cd3f346e0df8f8a', '5cec3f80b3c71a81ce676881956fa5ff', '3cdf5401e617b2fcf3f2675f712fc41f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,07082023-2349,19728656479,238345847,100631,Pedigree Pouch Puppy Beef Egg Loaf with Veg 80g,80G/GR X 1,0,2700000,2700000,0,,,238,790,,730,38,12,2,8,790,4.8734177215189876,4351,12248,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['5300d3833efc014f87114a73dc29f3f0', 'cdbf34725f734ceaad77489975b4fdb5', '2457894f1b33068682b0a7e3529b0871', '70bb4a964fab05309ce527fbc6ae44ce']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
10,07082023-2349,4236603025,238345847,100629,Argentina Corned Beef 150g,150G/GR X 1,0,3500000,3500000,0,,Argentina,764,7462,,6959,205,123,46,129,7462,4.857181208053691,851,42936,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['de22d28848d5589beab21e5cd0305293', 'cb1a6828ab69741b4bf4e39fa83f460f', '8cde525177fdd393029043afa880d7eb', '28af6ec58901c5ad9fe6bc8cacf7160e', 'dadcbb5be0dad59404b893ef34de05fa', 'cb7daa23246a87dd80c09ef2655d5e6c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
11,07082023-2349,4825340889,238345847,100630,Belo Intense White Deo Roll-On 40ml Buy 1 Take 1,40ML X 2,32000000,16000000,16000000,50,50%,Belo,4849,20549,,19171,803,331,93,152,20550,4.886568326761112,1914,56431,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['2dc788c37d197c84a8f527210b503b74', 'b62b13ca9a77f38ae32a50a746589058', '198bf388729f77b53743ec788878f608', '4c852b65f43dff1abaf288d80d52323f', '6112d45a22dff1a744fa75b12435ac90']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
12,07082023-2349,4534782770,238345847,100629,BEAR BRAND Powdered Milk Drink  300g,300G/GR X 1,0,13000000,13000000,0,,Bear Brand,1083,7673,,7260,200,98,40,75,7673,4.89630885613669,1645,36581,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['sg-11134201-22110-l5eczcyaeljv13', 'sg-11134201-22110-lws0zbwaeljv5e', 'sg-11134201-22110-bnpjed5aeljvc7', 'sg-11134201-22110-9j1ipqsaeljv8e', 'sg-11134201-22110-38eixj7aeljvd1', 'sg-11134201-22110-dy50aqabeljvce', 'sg-11134201-22110-pn1oj7cbeljv8c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
13,07082023-2349,8772462050,238345847,100629,Bingo Cookie Sandwich Double Choco Minis 20g,,0,800000,800000,0,,,757,2380,,2140,93,62,30,55,2380,4.7829196466133785,1284,17096,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['3d1c750ca8d51cfe7dafdf6e88da6839', 'abef4f44886f437bd77f0d2c501f4d55', 'e616e3bacd7a3decc0c797d531e05e17']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
14,07082023-2349,8990471009,238345847,100629,Bear Brand Fortified Powdered Milk Drink SWAK Pack of 8 - 33g,33G/GR X 8,0,9400000,9400000,0,,,507,3684,,3468,89,59,19,49,3684,4.8769690385659965,2046,17814,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['sg-11134201-22100-qvetmdh94wiv1f', 'sg-11134201-22100-21ueqjh94wiv30', 'fc8b2ef76feceda68197c7f6156889c3', 'ec1acd385615d3d2c445cbbf0af564af', '6d379c907d6a3d50fe882857ebbf9d49', '2f82a1b9196a0d98de90db740081be65']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
15,07082023-2349,7436632431,238345847,100629,Argentina Meat Loaf 150g,150G/GR X 1,0,2200000,2200000,0,,Argentina,607,5490,,5137,153,86,33,81,5490,4.865500273373428,1067,28965,1,True,"Liloan, Cebu",False,False,True,False,False,False,False,"['026a5868f155320487aaae02cee35c05', '690f25d335990efecac14bc20b2b8302', 'c40cf87dc79ec6e9108f17ea11ae3c42', 'b1554094cc17b370d0126ee401a03eb7', '9468de55c81db4e2acfebf78f07718de', 'ba5f132b4542c537a41001c075beb0ae', 'c94a9d01feab5bfc75bd54bf9729ff95']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
16,07082023-2349,7236621856,238345847,100629,Century Tuna Flakes in Oil 155grams,155G/GR X 1,0,3800000,3800000,0,,Century Tuna,651,6632,,6096,215,137,45,139,6632,4.826763328802295,967,36136,1,True,"Liloan, Cebu",False,False,True,False,False,False,False,"['44e0f8379ec5f279d39ff772e04946e3', '8737e0fcd993bfcfb2a02ed0f1ca906d', '4ddc3ce846a923cb5004c0cce71dd7aa', 'a788e3dbc4a962e18c5dbb7152bc76c7']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
17,07082023-2349,12881664150,238345847,100629,Nissin Pasta Express Creamy Carbonara 60g,60G/GR X 1,0,1600000,1600000,0,,,720,2422,,2222,99,45,20,36,2422,4.837737407101569,84,21382,1,True,"Liloan, Cebu",False,False,True,False,False,False,False,"['f70e40bb9d2cac21c750e93b6f4b09c9', 'c25484ec2a2ce030432835f6f75e5e76', '6fa494a521a73c2869c2250337a1169e']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
18,07082023-2349,3151060778,238345847,100629,Argentina Beef Loaf 150grams,150G/GR X 1,0,2100000,2100000,0,,Argentina,460,4090,,3746,145,91,33,75,4090,4.827780499755022,704,21454,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['40bab67b7174cb260af137608dd7b57b', 'cf1d4671d8b207552a319e90bd22fa02', '0ac02513e0bf39cc962d0dca708934cb', 'd82fa533ed1665b8bffa9d647cc074f6', '882ca04eb91245d215bf8bf2fa7be51a', 'f76611a3518c82f450b912f98469805b', 'b07151e19d45a65dc0bf981cb573c186']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
19,07082023-2349,7063787267,238345847,100001,Caress Basic Adult Diaper Medium 1's,1Piece X 1,0,2100000,2100000,0,,None,228,2015,,1878,88,30,10,9,2015,4.89379652605459,2330,13374,1,True,"Cabuyao, Laguna",False,False,True,False,False,False,False,"['8408f47de5a81cd9f7b278486b713af0', 'dc0abd1a1dbc84fe5665f4d2552ac656', '75d963d52da4093dc054b9c5068c88fe']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
20,07082023-2349,10614691634,238345847,100629,Lucky Me! Pasta Mac and Cheez 75g,,0,2600000,2600000,0,,,1087,3270,,3054,91,60,20,45,3270,4.868566176470588,2580,20734,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['5c602e81243929113a86cbfa19a72fd6', '01e52718363f5116eb6c957523c8ce15', '26cc98e069cdf9db912f7a4c2e817f76']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
21,07082023-2349,5357349147,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,386,3976,,3698,117,53,38,70,3976,4.849874055415617,2165,27755,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
