,date_collected,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,06272023-1956,12805407603,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,771,9857,,8817,619,203,103,115,9857,4.81796017878911,9397,56877,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
1,06272023-1956,13705400379,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,278,2743,,2416,188,70,26,43,2743,4.7891280554542135,4969,22490,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2,06272023-1956,12505431051,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) 500 GRAMS,500G/GR X 1,2500000,2000000,2000000,20,20%,,117,1775,,1595,109,37,15,19,1775,4.832199546485261,4004,15334,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['03afdb1f924553cbad2e816266df3825', '79e3fb698da51b27d3fae2809902643a', '4841eed8ca7f84cbfaa3b7ec63bfa985', 'e1b2a86807dc9e16eb03027af8e00e60', 'e34e73babc46752672a03dd0355ea63a', 'a497f7a694542a1913260be13666a934']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
3,06272023-1956,5049375609,238345847,100629,Magnolia Pancake and Waffle Mix 180g,180G/GR X 1,2700000,2700000,2700000,0,,Magnolia,2272,7334,,6720,318,148,56,92,7334,4.844022925764192,4783,38276,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['b293223a06f472e942eb47fda0befdd4', 'fde3bcd4874e25aa1f090d277e27daae', '51772025c2a27492ed95e2c769cb1ff4', 'f11a5aea7ce661b4f7cc3f9b0855f2e0', '0b0f58ecef582dcf77d98aa60036be1d', '7588001fb73f7d20019414373d506c89']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
4,06272023-1956,13474365034,238345847,100629,Maggi Magic Sarap All-In-One Seasoning Granules 8g  Pack of 16,8G/GR X 16,7000000,7000000,7000000,0,,,291,4122,,3867,126,50,20,59,4122,4.874210781932977,1632,39146,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['12bf56b779c876e6fcb8d0e651550236', 'c821b3fbe4e938488dc9136d6299dbf9', 'c6d9ad871b82cc6ff5dcf2b4d76ef444', 'f7a3fd9ea4b01859fde0a85bae73118e', '38c42ab77631e7b00940f7f447c03529', 'a41dc5938776dc81e6a48d903d904609', '6ac40d18d166eef551dce5c250056767', 'fb7d5935546c14cf062f12d87071586e']","[{'name': '1', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
5,06272023-1956,10185573248,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,1600000,1600000,1600000,0,,,305,2212,,1989,119,42,29,34,2213,4.807501129688206,2448,29295,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
6,06272023-1956,21637581481,238345847,100630,DEOplus Pink - Tawas Powder with Licorice Extract 50g,50G/GR X 1,1600000,1600000,1600000,0,,,568,3166,,2869,157,68,30,42,3166,4.825963360707517,4116,16838,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['87631ba39e714d381ca61bf3171eec26', '32b57281af864874b3db3b60808913b0', '4407ca70a091510cecfc7895f40d4dd2']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
7,06272023-1956,7591877491,238345847,100636,Tisyu Coreless Compact Tissue Paper 10's 30g,30G/GR X 10,5800000,5600000,5600000,3,3%,,3053,10514,,9841,349,158,61,105,10514,4.881819916062572,2475,39133,1,True,"Calamba City, Laguna",False,False,True,True,False,False,False,"['5ed3e13a3a4216ea6af71642bc2ed934', 'e42723b2de1e80c51cd3f346e0df8f8a', '5cec3f80b3c71a81ce676881956fa5ff', '3cdf5401e617b2fcf3f2675f712fc41f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,06272023-1956,8348384922,238345847,100629,Bear Brand Fortified Powdered Milk Drink 2.4kg,2.4KG X 1,85000000,85000000,85000000,0,,Bear Brand,1231,11779,,11214,278,120,44,123,11779,4.905506458191707,3115,33594,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['566c592a53ffa13c602085c76182f37a', 'sg-11134201-22100-pz6wi8j34wiv9c', 'sg-11134201-22100-wdyqy7j34wiv35', '32e2a56a10403d8a3c18b9fb63f7d9e3', 'sg-11134201-22100-ytils8j34wiv52']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,06272023-1956,4236603025,238345847,100629,Argentina Corned Beef 150g,150G/GR X 1,3500000,3500000,3500000,0,,Argentina,743,7280,,6800,194,117,43,126,7280,4.859658778205834,2471,41068,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['de22d28848d5589beab21e5cd0305293', 'cb1a6828ab69741b4bf4e39fa83f460f', '8cde525177fdd393029043afa880d7eb', '28af6ec58901c5ad9fe6bc8cacf7160e', 'dadcbb5be0dad59404b893ef34de05fa', 'cb7daa23246a87dd80c09ef2655d5e6c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
