,date_collected,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,09192023-1435,12805407603,238345847,100636,Mighty Clean Detergent Powder Floral Blossom - Powder (Pink) - 1 kilo,1KG X 1,5000000,4000000,4000000,20,20%,,2639,29495,,26589,1921,517,213,255,29495,4.843386998165886,40977,224448,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1be34335be886b19de94d98060343cb3', 'e8c513156f5a46ba708b7ab9fb12441b', '82be556bfd7871de162f73d4511469fa', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', 'd95eef248bd6be46b6689a5370a79068']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
1,09192023-1435,8990471009,238345847,100629,Bear Brand Fortified Powdered Milk Drink SWAK Pack of 8 - 33g,33G/GR X 8,0,9400000,9400000,0,,,1142,8303,,7853,243,95,29,83,8303,4.898192771084338,17752,61197,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-qvetmdh94wiv1f', 'sg-11134201-22100-21ueqjh94wiv30', 'fc8b2ef76feceda68197c7f6156889c3', 'ec1acd385615d3d2c445cbbf0af564af', '6d379c907d6a3d50fe882857ebbf9d49', '2f82a1b9196a0d98de90db740081be65']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2,09192023-1435,7042413497,238345847,100636,Surf Powder Detergent Cherry Blossom 6pieces 65grams,75G/GR X 6,0,4200000,4200000,0,,Surf,1262,10293,,9647,309,166,53,118,10293,4.87792788414812,19596,72054,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['91c469f3f17596143c020897595203e1', 'a352dc13ae5044132de7f0bdbe48ae34', '2464a615b871e7fe3c8549684dcd84a8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
3,09192023-1435,5357349147,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,630,5622,,5178,198,94,52,101,5623,4.835321345914189,8868,60925,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
4,09192023-1435,9414583216,238345847,100629,Alaska Evaporada 360ml,360ML X 1,0,3500000,3500000,0,,Alaska,453,2743,,2489,135,53,25,42,2744,4.82500911410864,19336,35820,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['ph-11134207-7r98z-ll8rt9vifgxee2', 'ph-11134207-7r98u-ll8rt9vigvhu99', 'ph-11134207-7r98v-ll8rt9viia2adb', 'f183e36b7d7890bb4eb09ffe0fc3adc8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
5,09192023-1435,10185573248,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,0,1600000,1600000,0,,,735,4488,,3947,288,108,58,88,4489,4.770447960775574,6990,63724,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
6,09192023-1435,13705400379,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,783,6353,,5557,484,162,49,101,6353,4.7858156028368795,8406,58695,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
7,09192023-1435,7957351456,238345847,100629,Mega Sardines Tomato Sauce Chilli 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,446,4404,,4011,178,86,31,98,4404,4.812542603953647,10237,40253,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f23ba1a5807d6b604b45ee18039a2387', 'bb57b13f77a2b57768506557838ac7a6', '455879a35e7eca5b3e7cf33e2e5d257a', '7079e0bf30acacc3eab1b4265344c780', '4fb9a358f733b440d0a70dc8fa9a04d1']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,09192023-1435,4534782770,238345847,100629,BEAR BRAND Powdered Milk Drink  300g,300G/GR X 1,0,13000000,13000000,0,,Bear Brand,1690,11878,,11167,402,155,56,99,11879,4.894253454668015,11489,62339,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22110-l5eczcyaeljv13', 'sg-11134201-22110-lws0zbwaeljv5e', 'sg-11134201-22110-bnpjed5aeljvc7', 'sg-11134201-22110-9j1ipqsaeljv8e', 'sg-11134201-22110-38eixj7aeljvd1', 'sg-11134201-22110-dy50aqabeljvce', 'sg-11134201-22110-pn1oj7cbeljv8c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,09192023-1435,4236603025,238345847,100629,Argentina Corned Beef 150g,150G/GR X 1,0,3500000,3500000,0,,Argentina,976,8988,,8386,260,149,50,143,8988,4.8619652406417115,2219,67902,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['de22d28848d5589beab21e5cd0305293', 'cb1a6828ab69741b4bf4e39fa83f460f', '8cde525177fdd393029043afa880d7eb', '28af6ec58901c5ad9fe6bc8cacf7160e', 'dadcbb5be0dad59404b893ef34de05fa', 'cb7daa23246a87dd80c09ef2655d5e6c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
10,09192023-1435,7591877491,238345847,100636,Tisyu Coreless Compact Tissue Paper 10's 30g,30G/GR X 10,0,5800000,5800000,0,,,4892,15830,,14740,624,246,83,137,15830,4.880729298556597,12590,62711,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['5ed3e13a3a4216ea6af71642bc2ed934', 'e42723b2de1e80c51cd3f346e0df8f8a', '5cec3f80b3c71a81ce676881956fa5ff', '3cdf5401e617b2fcf3f2675f712fc41f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
11,09192023-1435,7236621856,238345847,100629,Century Tuna Flakes in Oil 155grams,155G/GR X 1,0,3800000,3800000,0,,Century Tuna,873,8043,,7363,282,175,63,161,8044,4.821735341715424,7663,54486,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['44e0f8379ec5f279d39ff772e04946e3', '8737e0fcd993bfcfb2a02ed0f1ca906d', '4ddc3ce846a923cb5004c0cce71dd7aa', 'a788e3dbc4a962e18c5dbb7152bc76c7']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
12,09192023-1435,12705470660,238345847,100636,Mighty Clean Detergent Powder Calamansi - Powder Green 1 Kilo,1KG X 1,5000000,4000000,4000000,20,20%,,578,6388,,5780,397,118,32,61,6388,4.847989949748744,2271,32322,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['177e181e537ebe0681491f91be4ab8dc', '223e70b177e321204cf742e47103c656', 'f78645ad9c53d4cbc12513f11f63eb17', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c', '963580a0597ecd8ab5050bd6061e69f4']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
13,09192023-1435,3634981326,238345847,100629,Chuckie Opti-Grow Flavoured Milk Baon Saver's Pack 6's  (110ml),110ML X 6,0,8500000,8500000,0,,Chuckie,4627,11157,,10519,305,138,62,133,11157,4.8859987442819985,4487,43469,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['79a0dd3f16b4941dc4f0fa81f5185c0b', '65083ce74446ab27f098be0955e32879', '6f225fae7d45e7cdd415011636dee02c', 'b24f5d449fcddc773e4ea86817214cc3', '294444bb2f0b0b87c3c910b63de09b7d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
14,09192023-1435,7563131279,238345847,100001,Pepsodent Whitening 2 Pieces 190g,19G/GR X 2,11900000,11700000,11700000,2,2%,Pepsodent,1030,7816,,7357,289,85,28,56,7815,4.902226772459688,5417,25309,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['a985d5d74f0ad570c9e2e7c306816ffc', 'cb4e8ecc7789978f9ff2e2f68eb01463', '2efaf392d403d01402f8fc182f3206f0', 'c2b2cd9769ff352836b6d0b012fa30ef', '3da7d11494abac9d69bd259d3bbf5ba2', '8c5832e215669761db81d4361b32dd47', '35a752bf718691cf61279274dbd24fb0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
15,09192023-1435,13405472398,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener Powder 1kl,1KG X 1,5000000,4000000,4000000,20,20%,,574,6135,,5513,414,109,38,61,6135,4.838530612244898,4034,29408,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f785365abbf92b8ee2184fd51c0074e0', '3f7776609ae0fed4fc78faeed150e5d7', '0ea17cd35caa3e8808ab32a8ec31569e', '5d78b672de87a542405fa0c301db3a1c', 'cdc750f7c6d11d35d752e0f5009e8f9b', 'd2534b00ca850e773a8a460c4026fa5e', '561fa8562c67328071798e25c0f8685c']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
16,09192023-1435,9214617902,238345847,100629,Alaska Krem-Top Non-Dairy Coffee Creamer 450g,450G/GR X 1,0,10900000,10900000,0,,Krem-Top,560,3659,,3449,131,42,9,28,3659,4.904319300164024,5062,20111,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-af4ku3vgekiv25', 'e873f9ecad8a0d43da17d22b945f022a', '90bf8fffdb8963101191410ab2fe6079', '54a1c2d61cc221dca08b89ae7cbe1ed4', 'f183e36b7d7890bb4eb09ffe0fc3adc8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
17,09192023-1435,7436632431,238345847,100629,Argentina Meat Loaf 150g,150G/GR X 1,0,2300000,2300000,0,,Argentina,811,6749,,6292,205,117,39,96,6749,4.862140527720131,485,45217,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['026a5868f155320487aaae02cee35c05', '690f25d335990efecac14bc20b2b8302', 'c40cf87dc79ec6e9108f17ea11ae3c42', 'b1554094cc17b370d0126ee401a03eb7', '9468de55c81db4e2acfebf78f07718de', 'ba5f132b4542c537a41001c075beb0ae', 'c94a9d01feab5bfc75bd54bf9729ff95']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
18,09192023-1435,4163133728,238345847,100001,Pepsodent Cavity Fighter 2X190G,190G/GR X 2,11900000,11700000,11700000,2,2%,Pepsodent,966,8530,,7952,368,107,38,65,8530,4.88951442646024,5416,27249,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['0afc626022992395718fcd80b684ca6f', '0d230c9ad70393233761aa237cd7a319', '8b18097faae132f3d93cea526b1f6ce0', '4ea168e09ce7633205a614d2d0e9b61e', '2a34a5d9c6f7e0c19a3a6766a2ebbce0', '2259df8932662b74472aaa7967b6d93a', '9d947ab4e1c670246b19f10dea8ab917']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
19,09192023-1435,8348384922,238345847,100629,Bear Brand Fortified Powdered Milk Drink 2.4kg,2.4KG X 1,0,85000000,85000000,0,,Bear Brand,2090,15965,,15180,411,163,55,158,15967,4.905539505087301,9338,54962,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['566c592a53ffa13c602085c76182f37a', 'sg-11134201-22100-pz6wi8j34wiv9c', 'sg-11134201-22100-wdyqy7j34wiv35', '32e2a56a10403d8a3c18b9fb63f7d9e3', 'sg-11134201-22100-ytils8j34wiv52']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
20,09192023-1435,21637581481,238345847,100630,DEOplus Pink - Tawas Powder with Licorice Extract 50g,50G/GR X 1,0,1600000,1600000,0,,,1180,6268,,5698,331,121,52,66,6268,4.841576260370134,5453,35248,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['87631ba39e714d381ca61bf3171eec26', '32b57281af864874b3db3b60808913b0', '4407ca70a091510cecfc7895f40d4dd2']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
21,09192023-1435,5823600892,238345847,100630,KERATINplus Gold Intense Brazilian Hair Treatment 20g 12 Pieces,20G/GR X 12,0,7900000,7900000,0,,Keratin Plus,2806,11187,,10635,304,104,38,106,11187,4.906141056583534,4140,44187,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['d454363ae0149395cab1d46c98630b66', '6b091a6ae4c562e2dcec1b8d0809233e', '6d5d50049f9d16bc90e49f154f0bda0f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
22,09192023-1435,13474365034,238345847,100629,Maggi Magic Sarap All-In-One Seasoning Granules 8g  Pack of 16,8G/GR X 16,0,7000000,7000000,0,,,738,6290,,5888,219,82,26,75,6290,4.879573655742921,11612,63999,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['12bf56b779c876e6fcb8d0e651550236', 'c821b3fbe4e938488dc9136d6299dbf9', 'c6d9ad871b82cc6ff5dcf2b4d76ef444', 'f7a3fd9ea4b01859fde0a85bae73118e', '38c42ab77631e7b00940f7f447c03529', 'a41dc5938776dc81e6a48d903d904609', '6ac40d18d166eef551dce5c250056767', 'fb7d5935546c14cf062f12d87071586e']","[{'name': '1', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
23,09192023-1435,3151060778,238345847,100629,Argentina Beef Loaf 150grams,150G/GR X 1,0,2100000,2100000,0,,Argentina,641,5118,,4677,200,107,40,94,5118,4.826418786692759,3430,33715,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['40bab67b7174cb260af137608dd7b57b', 'cf1d4671d8b207552a319e90bd22fa02', '0ac02513e0bf39cc962d0dca708934cb', 'd82fa533ed1665b8bffa9d647cc074f6', '882ca04eb91245d215bf8bf2fa7be51a', 'f76611a3518c82f450b912f98469805b', 'b07151e19d45a65dc0bf981cb573c186']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
24,09192023-1435,3397302858,238345847,100629,Wafertime Rich Cream Wafers Choco 27g x 10pieces,27G/GR X 10,0,7900000,7900000,0,,,650,3319,,3109,113,44,13,40,3319,4.879481771617957,754,12705,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ce35b466fa1c49b325357d39109ac8ac', '74e72b96b5948dcda467b2c4d69f9bf7', '83b34bc78966b27809165068d991f887']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
25,09192023-1435,7857364712,238345847,100629,Mega Mackerel in Natural Oil 155g,155G/GR X 1,3300000,3200000,3200000,3,3%,Mega,493,4122,,3810,129,82,40,61,4122,4.8443041049307745,4073,24628,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['dd729b582101452fe4786c0e21b0d39f', 'fd5cedcfd2ebf4f16250472fb8941710', 'b346ddee0ccf3eaccfe60c3b557c3ffa', '14f26f41c8d0a40f0bf99c14ec08936f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
26,09192023-1435,19340115737,238345847,100630,Cream Silk Treatment Keratin Rebond Straight 18ml 6 Sachet,18ML X 6,0,4500000,4500000,0,,,382,1680,,1550,79,22,8,21,1680,4.8625,2641,11349,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['9058c14c6440d039d9ce55ffc9e44583', '0daf62be022d9ca6dac201bb42954d7d', '225ceaffaad89e0c986a29176aedd626']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
27,09192023-1435,15213079078,238345847,100630,DEOplus Tawas Powder for Underarm & Foot (50g),,0,1400000,1400000,0,,,1525,8135,,7518,367,142,39,69,8135,4.872494774375999,5207,49798,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['cf77adeef22c6b10de7dba1021545d87', '7d98c016daef6ce03c121bb4030cc8b0', 'c030ac0417ecbb78502ca582cddcb0b8']","[{'name': 'Color', 'options': ['White'], 'images': None, 'properties': [], 'type': 0}]"
28,09192023-1435,19728656479,238345847,100631,Pedigree Pouch Puppy Beef Egg Loaf with Veg 80g,80G/GR X 1,0,2700000,2700000,0,,,503,1518,,1390,83,19,6,20,1518,4.855731225296442,7339,26783,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['5300d3833efc014f87114a73dc29f3f0', 'cdbf34725f734ceaad77489975b4fdb5', '2457894f1b33068682b0a7e3529b0871', '70bb4a964fab05309ce527fbc6ae44ce']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
29,09192023-1435,3242124948,238345847,100629,Knorr Cubes Pantry Pork 60g,60G/GR X 1,0,3600000,3600000,0,,Knorr,513,3805,,3560,129,46,16,54,3805,4.876348329387003,1070,14550,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['3e663451a9624098466cad76f1463267', 'c981fa4994509d8e19974179eab07213', 'f2e8f894a132406e93349cfeb3364670', 'dfc54a4cf24798954a420721a12fbda7', '080f0383370d4d62b7b42663652c5e21']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
30,09192023-1435,5245819953,238345847,100631,Pedigree Adult Beef in Gravy Flavor 80g,80G/GR X 1,0,2600000,2600000,0,,Pedigree,654,2788,,2613,101,33,13,28,2788,4.888011486001436,2640,33922,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f6d2d9b7d35524d5972ed712ec5c1050', 'b3e2ccd605731ae2a0177de28733cb6c', 'eb4c0779e2f6625a2310ec24ce3c3644', '4637d111f206a2647bd2d469659834bb', '384162fdef4b60054717474c8fc3adfc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
31,09192023-1435,7334817297,238345847,100629,NESCAFE CLASSIC COFFEE 46g,50G/GR X 1,0,4100000,4100000,0,,Nestle,597,4087,,3882,120,33,16,36,4087,4.908467939304944,3115,14237,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['d2642e0e12024123ead4c1423f9c1a93', 'e232e9839fa91bc6407277b030eff132', 'd3e9e15eca52d4c5d82cdeae4f175837', '0b974d4b846c318a6590ffd9757f06f0', '03e8cc974844a508fc02815b7f508bf5']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
32,09192023-1435,8377114272,238345847,100629,Nutella Spread 200 Grams,200G/GR X 1,0,17500000,17500000,0,,,1918,3633,,3396,155,40,5,37,3633,4.890448665015139,3434,11958,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['0bfefd9529a44b5e4f119bbdd9ffd049', '27f49cf2c333972ee8c1f6fbbe3e60ec', '79d6b25d68e3b50f202bb4845a56fb32', 'ca544a43fa01bd05ab23c0609c7e41e6']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
33,09192023-1435,2989478561,238345847,100629,Hansel Crackers 32g x 10pcs,32G/GR X 10,0,6600000,6600000,0,,,440,3992,,3632,177,74,31,78,3992,4.820210631895687,16,13392,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['5849bff61d3b1a02a378bace7d58b2d9', '7b880fa52efcadbd78b8d0de4b0b7425', 'd5a159197819fb0e2c2c0bfd830ef63c', '275eef66d47485e36d01b7788c10c85a', '67c19036417158697ba3353aeadaa30f']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
34,09192023-1435,3936704109,238345847,100629,Century Tuna Flakes in Oil 180g,180G/GR X 1,0,4600000,4600000,0,,Century Tuna,911,8580,,7967,255,149,52,158,8581,4.850186828584773,3678,55464,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['4d968d8443c98035ad317a862059cce1', '82b4480cefb6a78b419853903fad0b1a', 'c3d00e86e648d3c10d6bb66d71452a91']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
35,09192023-1435,8527430486,238345847,100629,Knorr Crab And Corn Soup Mix 55g,60G/GR X 1,0,5500000,5500000,0,,Knorr,729,4459,,4203,125,56,22,53,4459,4.886021987884227,561,19491,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['6ce256ad83a728127f3afba7cfa03f6f', 'eb2c5e1d1a9310984633f59c2023411d', '5d86802cdc1aa40b7ca2c00dec595fc7', 'ab87958a1dcce92b0d54a09f9ff7e1ab', 'b2ee919333e780d2045f2a0bd8eacb37']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
36,09192023-1435,5534811285,238345847,100629,Milo Activ-Go Choco Malt Powdered Milk Drink  300g,300G/GR X 1,0,11000000,11000000,0,,Nestle,1313,6077,,5718,184,89,23,63,6077,4.888248847926267,2734,17896,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['70f0c54c700106be6c312dd0b3265131', '06aabc304f0b51531eaa9bffd3251882', '564c28d8ea244459d3363e2fd36f0826', '5800b0a70ddfdadb255c3c8b1f9d09b0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
37,09192023-1435,3234955563,238345847,100629,Nestle Coffee-Mate Coffee Creamer Stand-up Pouch 400g,450G/GR X 1,0,13000000,13000000,0,,Nestle,885,8236,,7780,206,97,54,102,8239,4.8859574468085105,1580,33573,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ph-11134207-7qul8-lh5o6xpjixlsbb', 'ph-11134207-7qul1-lh5o6xpjkc689b', 'ph-11134207-7qul9-lh5o6xpjlqqo6e']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
38,09192023-1435,3002824796,238345847,100629,Alaska Condensada 380g,370G/GR X 1,0,5700000,5700000,0,,Alaska,131,711,,638,37,21,8,8,712,4.810393258426966,3787,5813,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['be7afcb9737524e282e4246f762613d3', 'sg-11134201-22100-q45uvoy10jivff', 'sg-11134201-22100-ghiwtqy10jivb3', '8a170464d52a28619d12ca06f7208b02']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
39,09192023-1435,6897611588,238345847,100632,Johnson's Baby Powder 50g,50G/GR X 1,2700000,2500000,2500000,7,7%,,563,2582,,2344,133,54,21,31,2583,4.836884928322355,1956,10507,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['682faa0df0a805cc658092295a936e61', '85685af7174563d208ea0b6de9cfa446', 'ea2b7309a45450806f0cd3facb87ffda']","[{'name': 'V1', 'options': ['O1'], 'images': None, 'properties': [], 'type': 0}]"
40,09192023-1435,7742231393,238345847,100629,Knorr Cubes Pantry Chicken 60g,60G/GR X 1,0,3600000,3600000,0,,Knorr,437,3430,,3203,108,39,22,58,3430,4.864778037383178,1037,10911,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['2ceaaa2c73909be98cb9604b222af71c', 'b599ec3e279a2e8bc23fc5f1600d940e', 'dbf5729a363ace04f895913cb4861882']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
41,09192023-1435,6442252815,238345847,100629,Knorr Liquid Seasoning Original 130mL,130ML X 1,0,6200000,6200000,0,,Knorr,947,4377,,4128,130,43,19,57,4377,4.885538039753255,2191,12673,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1cf047405f7ae82f21dc54b8e00646fe', '21742ecc1135058bec42a3de2364e02c', 'b6f34168a33f036e2b301ea946996f06', 'e75820d1ed05c8630ff218395e760251', 'dcb1a143d00065f1115ebc20db831ec6']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
42,09192023-1435,6336619530,238345847,100629,555 Sardines in Tomato Sauces 155g,155G/GR X 1,0,2400000,2400000,0,,555,512,4965,,4667,118,72,35,73,4965,4.872048435923309,1790,38462,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['3d06e69322946309f3fc9c130b13c0dd', 'de168084ff0d7a850d2b569e60976dc1', 'b719aaa5bda446138fb6432e25fb3f8d', '8b7bb35bec907c4ee827c5fdf13a0a9a']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
43,09192023-1435,9827476610,238345847,100629,Lady's Choice Real Mayonnaise Regular Pouch  220mL,220ML X 1,0,9600000,9600000,0,,lady's Choice,453,2881,,2691,105,35,10,40,2881,4.87530392497395,2522,10295,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['c39e962b8b877b95d88ff15ab1e8984e', '310bbf6f7c05d1d93c5adfbc6bc7bd1d', 'eddf67e086b8131b1fe89f27e5b719ce', '99120fb5323683738a7bf20df9e2fc42', 'd163b110a27a5ed1d10e07aba2cf0f03']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
44,09192023-1435,2973033304,238345847,100629,Lucky Me! Pancit Canton Instant Noodles Sweet and Spicy Multipack x 6 80g,,0,9600000,9600000,0,,,494,3176,,2911,147,54,20,44,3176,4.845403022670025,442,10986,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['0cf9ac3121de2475ea2a3afd22a79157', '4481a0f7e72fe4bbf4bfff295fc9cbcf', 'd7da7054e322864e63f250130287e5bc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
45,09192023-1435,6463641448,238345847,100632,Babyflo Baby Cologne Butterfly Kisses 100ml x2,100ML X 2,0,13500000,13500000,0,,,3238,6909,,6500,243,79,27,61,6910,4.8949044585987265,2874,24550,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['65ab6e89e749091ec2338812a268f694', '0c755db8a4139a882fc1754b45a7f93f', '7e5bd0ee94cf33b0c98e867d95c26628', 'fa3f1752bd2329349037d2e3a634e415', 'aa56a5ab936f278f1398c563f912fde9']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
46,09192023-1435,4963784015,238345847,100001,Caress Basic Adult Diaper Large 2 Pieces,2Piece X 1,0,5000000,5000000,0,,None,393,2579,,2376,143,39,11,10,2579,4.886002326483133,871,10156,1,False,"Cabuyao, Laguna",False,False,False,False,True,False,False,"['73cbf2e5600f55bef2293f48d28dd358', 'ecb2bfc08cf9b53e438e6eb7b8d37eea', 'd4ed59f5f572159e5d2d66a35be1bd1a']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
