,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2532,3450338786,238345847,100636,Ziploc Storage Bags Quart 25 Bags,25Piece X 1,0,24000000,24000000,0,,Ziploc,99,101,,94,5,1,1,0,101,4.900990099009901,11,227,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['165977d53d71e4a782d3f2b260a245d8', '84b9b95b6c6a64e7479414fe83575e81', '1499f00c95d0a7c36d6ebac7302e414c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2533,6797642616,238345847,100632,Tiny Buds After Shots Soothing Gel 15g,15G/GR X 1,0,17500000,17500000,0,,,39,228,,215,7,3,1,2,228,4.894736842105263,23,521,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['79bcf8ae48a39a5a898eaa063a7f441a', '51e9f7c251edaf83dce8976d990bffb1', '43e840a67c5c7f684607bd161f410684']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2534,3949448585,238345847,100629,Purefoods Corned Beef Chili 210g,210G/GR X 1,0,10200000,10200000,0,,Purefoods,16,108,,103,0,1,2,2,108,4.851851851851852,46,385,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['3901c0ddb00467e17e4629840994403f', '39586f49309d4d9f4cae0c89d44601c2', '33f765d03871f93963b8584ff41076b4', 'f51ad000a1b260fce7c693e9e6ca29aa', '6ad6ecc199da922892043ef18683490a']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2535,6233827207,238345847,100630,L'Oreal Paris Excellence Crème Triple Care Hair Color - 1 Black,1Box X 1,0,44900000,44900000,0,,L'Oreal,69,58,,53,4,1,0,0,58,4.896551724137931,25,146,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['a028ec2411fd0dc5ac890c6c5db7d75c', 'e4253f1ec70f8d74dfdc0738c88d9b5b', 'f4cdd1027dae187d14607787ba46a990', '18498c431a3bdbbcd86a88932c076d39']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2536,7940470651,238345847,100632,GOO.N Baby Diaper Friend Doraemon Pants Diaper Large,46Piece X 1,0,45600000,45600000,0,,GOO.N,31,44,,41,1,1,0,1,44,4.840909090909091,6,118,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['fc17c383741976419477d1bfa263eb83', '217e35f370decdf1f18a39a18e9bcd77', '8afe7d2a1d6c01fb052c184c384d0b45', '3d3460e66e91b08b68b6339eedcb8e28', '2b76d6049ce4029d1a059ec25863cef6']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2537,8066810243,238345847,100629,Cracker Garlic Bread (108g),108G/GR X 1,0,3900000,3900000,0,,,19,60,,56,2,0,0,2,60,4.898305084745763,3,240,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['26f76128c698fbef1d09f539d270fc51', '6a6cf5ea3f4570e4d6217a4485a93699', '12d3acacb836c6553d7b0602b3ea7dbe']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2538,7140503807,238345847,100629,House Foods Java Curry Hot 185grams,185G/GR X 1,0,21100000,21100000,0,,House Foods,30,32,,31,1,0,0,0,32,4.96875,7,110,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['89b7b11ad6396e96ea65d79f75ce5403', 'b79cccb894d5fc37491f787490462a1f', 'ccc3d95123bdda612513fc78cd5173bb']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2539,9042589250,238345847,100001,Puritan's Pride Lutein With Zeaxanthin 30 Softgels 20mg,,0,58900000,58900000,0,,Puritan's Pride,22,32,,30,0,1,0,1,32,4.8125,58,60,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['2c50ffc8d59f5587c069f09d505d9551', '40bb2c81c886326e7f5c405218bd1374', '984fd78c177154b1d1403eabd2c147b3', 'fb40eea4e95864a3fc61570a22c3c54c', '5aecdbb532c099e60c563c9fbe5ed5a4', '4ca9505a6f78f26a801bff6aeb016c65']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2540,5041189439,238345847,100636,Tide Powder Detergent Perfect Clean Perfume Fantasy 1.51kg,1.51KG X 1,0,24000000,24000000,0,,Tide,28,116,,111,2,1,1,1,116,4.905172413793103,27,231,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['sg-11134201-22110-zpnawlg1c2jv2f', '7a41c45dac5965ea393ac889256572f9', 'd544d08c6f6e22b85b1327bf1ceecc13', '06871818088495ffc7bc363fcd1d7fec', 'b2c26d928a308af011fa3d90414194f0', '16f68b94eca29515112ec09a9169e486', '102d2f11e68d548a587ae091ed10b9c5']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2541,5333817204,238345847,100630,L'Oreal Paris Excellence Fashion Ultra Lights Hair Color - 02 Golden Brown,1Box X 1,0,44900000,44900000,0,,L'Oreal,107,57,,53,3,1,0,0,57,4.912280701754386,7,112,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['017e86780dc28a2aa7fbdd48f1714963', 'ac5939832a3a04f69043bde01e33c0cb', 'b58b6b44607155531ff1d646a09265fe']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2542,6539062505,238345847,100630,Head & Shoulders Smooth & Silky Shampoo 680mL,680ML X 1,0,49900000,49900000,0,,Head & Shoulders,30,76,,73,1,0,1,1,76,4.894736842105263,15,141,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['sg-11134201-22100-1cgvy0h7n6iv93', 'b340d03be12b065bb408b0a43db5ee52', 'e089e0bb6853bd470336aea993427c06', '62bc0505ba7322e4bb27dfb4f7727784', '058478d19c8801e3aecee1eff5843bc6', '652b5397ae68d9c85fc83ddf16a4969a']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2543,6358780438,238345847,100632,Nutramigen LGG 400g Infant Formula Milk Powder for 0-12 Months Old,400G/GR X 1,0,110000000,110000000,0,,,4,17,,15,1,0,0,1,17,4.705882352941177,179,150,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['fc4fb1c249acb820b68c23d932bccdab', '48b9eb02e0548a19bc3a8262fddef52e', '054f0c044d1167ef7641ea9236ce6033', '365b473cc44fd179d50614bb8fdc6171', '13c6d33f343105076c5c78aa4b50503d', 'de193a01b8b8e6f838c9872a01c30757', '3ee9e9bb9394b80acfd1966a6e236762']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2544,11132944663,238345847,100632,Johnson's Baby Oil With Aloe Vera And Vitamin E 125mL,125ML X 1,0,11500000,11500000,0,,,38,198,,189,3,5,0,1,198,4.914141414141414,12,414,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['b8c59841317235f53f438a91fc8d575b', 'f3f9894d40401f610a7ad84e93fb7d0a', 'dd8c879f8f18298c7f676d97c58c217b']","[{'name': 'V1', 'options': ['O1'], 'images': None, 'properties': [], 'type': 0}]"
2545,4168062240,238345847,100629,Apple & Eve 100% Juice - Natural Style Apple No Sugar Added 1.89L,1.89L X 1,0,24900000,24900000,0,,Apple & Eve,25,33,,31,1,1,0,0,33,4.909090909090909,15,95,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['27bd17ec479b003bfb83faf09cd2f671', 'efbd80879150269003399b9290020dfd', '77d7b2a426fc2d3cccdc31477abceed0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2546,7091962111,238345847,100629,Jolly Garbanzos 225g,225G/GR X 1,0,3300000,3300000,0,,,14,35,,34,0,1,0,0,35,4.942857142857143,24,168,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['0329c089e5c90eac50ec4ee98fc26f6f', 'c2821e2525858c87f30e9014782813e8', '03aca08480abe2aabd075d6495473073']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2547,8267223591,238345847,100636,"Cheers Starch-Based Cutlery, Spoon & Fork, Natural, 6"" x 24",24Piece X 1,0,5100000,5100000,0,,None,27,64,,62,1,1,0,0,64,4.953125,10,427,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['1ef9fe89d4f003813b2c52d442fecf7b', 'c84a0cd7c6e4542dd70f4dddb2d119f1', 'fb54b7e6321fba5fc1312a7cfeca9434']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2548,7552674418,238345847,100629,Datu Puti Adobo Series Spicy 180ml,180ML X 1,0,3700000,3700000,0,,Datu Puti,30,59,,58,0,0,0,1,59,4.932203389830509,6,167,1,False,"Calamba City, Laguna",False,False,False,True,False,False,False,"['fd8347afb216df8fe41cbcccb153d827', '4ed04e01ca7da7070ee7e427d75958fa', '20c838e626d457c035091a7dd6b0eeb1']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2549,7433447906,238345847,100001,Colgate 360 Gold + Charcoal Toothbrush Buy 1 Get 2nd at 50% Off Assorted,2Piece X 1,43400000,32500000,32500000,25,25%,Colgate,36,48,,46,2,0,0,0,48,4.958333333333333,41,117,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['4e36cd22a00d81bca233f17335c2284c', '97f3d1924a22e1e1be4962550583d0c7', '4afa549c47d34fdc49d2690305c0a1b5', '50f6ded0c03e09af836fef781c9480fa']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2550,3466504646,238345847,100630,Dove Purely Pampering Body Wash Shea Butter 22oz,651ML X 1,0,39500000,39500000,0,,,725,161,,154,5,1,0,1,161,4.931677018633541,86,451,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['6750161f270503913fab1dca699e2c3a', 'dcb4081715589254ce877e2688d7cda2', 'd6ad7b799178c3f6c4de9aa5469c91da', 'd5808ad3caf1aeb0cf4b51ac81f91dc2']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2551,6341248111,238345847,100630,Head & Shoulders Ultra Men Cool Menthol Shampoo 315mL,315ML X 1,0,31900000,31900000,0,,Head & Shoulders,12,60,,56,2,0,0,2,60,4.833333333333333,13,130,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['0f233dc30865ffd3c7cee5a06927239c', '9008b2d7cda7afa394b9a72f7520c5cc', '37ecddd41e3291bf826e05bdb3c8d7e2', '190f8737d0e15aa23be0514664545e3a', '054d984e4021664a431a0cd084741408', '652b5397ae68d9c85fc83ddf16a4969a', 'c77a8241f24b640766868ab321a6ca3d', 'd8b73e0d27a727980a90e9f024b0a899', 'c591cdf74c60dd59a698be3c1d2a7a11']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
