,itemid,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
0,6734797015,238345847,100632,Nestle Cerelac Healthy Snacks Nutripuffs Banana & Strawberry 50g,50G/GR X 1,0,9500000,9500000,0,,Cerelac,626,3052,,2943,51,23,9,26,3052,4.926253687315635,151,9649,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['sg-11134201-22100-s7dz5sy47wiva8', 'sg-11134201-22100-5vl45sy47wivf0', '9fbe5085cc26ce028b3a768b687da913', 'ebee27d4445e979ad09eb8206241e7ed']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
1,4534797877,238345847,100632,Nestle Cerelac Healthy Snacks Nutripuffs Banana and Orange 50G,50G/GR X 1,0,9000000,9000000,0,,Cerelac,464,2749,,2644,49,27,10,19,2749,4.9250363901018925,51,8433,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['sg-11134201-22100-1ss8ku4v7wiv10', 'sg-11134201-22100-t7d8uu4v7wivaa', '82b8af830a87c0b3f726ad2d2cc46b22', 'f59378a8f8c26147ccc88e8eccd60c37']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2,4534006908,238345847,100632,Colgate Kids Toothpaste Tiger 40g,40G/GR X 1,4000000,3900000,3900000,3,3%,Colgate,916,7010,,6793,107,49,17,44,7010,4.940613847251963,653,23042,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['0fcc1daa26be4580046b4102d12b3b6e', '5fc0c3410bee7d4a95d9b1e802a6a343', '1f273ccf5d97cc7956021f4312917ffd', '66df471fa1124e0157134bdbd30e04b2']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
3,3634981326,238345847,100629,Chuckie Opti-Grow Flavoured Milk Baon Saver's Pack 6's  (110ml),110ML X 6,0,7900000,7900000,0,,Chuckie,3685,7130,,6773,148,81,39,89,7130,4.893990452120191,189,22372,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['79a0dd3f16b4941dc4f0fa81f5185c0b', '65083ce74446ab27f098be0955e32879', '6f225fae7d45e7cdd415011636dee02c', 'b24f5d449fcddc773e4ea86817214cc3', '294444bb2f0b0b87c3c910b63de09b7d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
4,4534001289,238345847,100001,Colgate Plax Antibacterial Mouthwash Freshmint Splash 60mL,60ML X 1,0,3500000,3500000,0,,Colgate,1151,2955,,2830,61,26,16,22,2955,4.917710802573654,366,8539,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['81f72390380cf93bd47a9a122a812ee7', '3ff6aee1ac9a3657c96f4b5adb6f7a7d', '60ffa1c216c888981092f4fdfa8df129', '3ba825b9e9dd0946109b950c8ccff882', '4ba9e43d239e63d42738fd216f40e6be', '8edb4cedd468d394ea67435c4aa14b7e', '11aef7d8befacc555d264c324c91d9a5', 'e258acec88b8ae69386bbad9d5b1a2b1', 'be7b88f05d520d16cef3bfe5a71a8521']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
5,3423384287,238345847,100629,Clara Olé Cheesy Pesto Pasta Sauce 180g,180G/GR X 1,0,14700000,14700000,0,,Clara Olé,1595,3226,,3094,66,21,11,34,3226,4.9177529484792055,303,13897,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['0992c293d9f6a6e37962689edfcab6a8', '950e2df82ac2160a937688641c6f33b0', '89dd7a5f506de9a45155c502fc19e38f', 'ea85f0705d92fb502037f959c7da4313', 'd282588fb3c79a93994925a2062b98fc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
6,5357349147,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,0,2600000,2600000,0,,Mega,296,2806,,2672,54,28,15,37,2806,4.899285714285714,403,17511,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
7,7234791091,238345847,100632,Cerelac Baby Food Mixed Vegetables & Soya 120grams,120G/GR X 1,0,6800000,6800000,0,,Cerelac,303,1840,,1788,22,18,4,8,1840,4.946166394779771,95,5024,1,False,"Calamba City, Laguna",False,False,False,False,False,False,False,"['sg-11134201-22100-pf35q0op6wiv41', 'sg-11134201-22100-1wn3g0op6wiv4b', '3015fb73890eb0b093a58b15d535b81c', 'e10a191cb39abf07bc1d162ee06cb86b']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
8,6532754547,238345847,100629,Energen Chocolate Hanger 10 x 40g,40G/GR X 10,0,8500000,8500000,0,,Energen,572,3451,,3351,49,18,11,23,3452,4.942865429234339,411,12697,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['52162a691191f0e9717f996211e4c479', '88dd66e407c11a9acb5e6d41ca6f598d', 'd7861de1f8c1c9f5487d012a0cd9761e', '4d928b243a04e7fa41c712111bee333b', '916c01d98294a5df564c4d4670bc6cab']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
9,5953100540,238345847,100629,Nature's Spring Sparkling Water 330mL,330ML X 1,0,2500000,2500000,0,,Nature's Spring,298,397,,380,5,6,2,4,397,4.897097625329815,7,9443,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['c420c04661bd142c38f192e4ab0c0c04', '045b4ad36a4cb0d0e32e90b2fa006fc3', '9828d86637355454bf29ef9c96cce5df', 'a1ac9c70555f5ac10fee0d048cf8f68a']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
10,4023288198,238345847,100629,Clara Olé Carbonara Pasta Sauce 200g,200G/GR X 1,0,3800000,3800000,0,,Clara Olé,1104,2196,,2120,36,16,10,14,2196,4.935218978102189,4,8961,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['3a89455848d559ea7a37d84cd2e111f3', 'a49155f8a1b42b9d8f9a1179a2e6a0af', 'fb3c7e37b165d8dca82ebf3185d08dc8', 'f2948eb0e1aeb6d2798d995d63f2cddd', 'a9c2561c39855882439d22aa4d26fa5e', '92a1e57c7a9e78c5be0f6b0a35a188dc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
11,3345912476,238345847,100631,Whiskas Junior Tuna in Pouch for Kittens 80g,80G/GR X 1,0,3300000,3300000,0,,Whiskas,968,3213,,3084,62,34,10,23,3213,4.925521969460891,5,55537,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['da21f4838dba4e330958147384599c1c', 'dc825838a27299ab60278a9e51413241', '250e971b123ed5c36248af196bfedd90']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
12,7034801925,238345847,100632,GERBER Baby Food Squash Puree 80g,90G/GR X 1,0,6100000,6100000,0,,Gerber,332,1951,,1913,14,6,4,14,1951,4.9518195797027165,57,5868,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['ae372352835e6a40a8ddc9b10534aac9', 'd728853d8eb7d46c97a664ca25b8f720', '94aa8992c7a30f86bd4d55c2f0ec17c2', '5156a8f82628580fad06896d1cca7ea9', '249918b5280a90a38ef0eaefe8c42209']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
13,3936704109,238345847,100629,Century Tuna Flakes in Oil 180g,180G/GR X 1,0,4600000,4600000,0,,Century Tuna,686,6617,,6213,152,96,39,118,6618,4.867444326617179,435,38259,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['4d968d8443c98035ad317a862059cce1', '82b4480cefb6a78b419853903fad0b1a', 'c3d00e86e648d3c10d6bb66d71452a91']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
14,3455278960,238345847,100629,Crispy Fry® Breading Mix Garlic 62g,62G/GR X 1,0,1700000,1700000,0,,Crispy Fry,203,818,,777,18,10,2,11,818,4.8959608323133414,33,3165,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['e79a6646cd789bbfd1cbac5e10a0e6b4', 'dadaac89c396b5e8f7b44d1fd08f3cf6', '1a6e503ee893679f402c78cd5107f355', '133b27faa4c5e1072004259c042e709c', '754a32af020516a9bcbfdf353257d98e']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
15,7042413497,238345847,100636,Surf Powder Detergent Cherry Blossom 6pieces 65grams,75G/GR X 6,0,3900000,3900000,0,,Surf,609,4907,,4656,92,64,28,67,4907,4.886600040791352,258,20560,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['91c469f3f17596143c020897595203e1', 'a352dc13ae5044132de7f0bdbe48ae34', '2464a615b871e7fe3c8549684dcd84a8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
16,4357364557,238345847,100629,Mega Prime Kernel Corn 425g,425G/GR X 1,0,4500000,4500000,0,,Mega Prime,356,1458,,1346,45,23,7,37,1458,4.821673525377229,366,5776,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['915df11af27f24d3969910319c31c234', '2e4376e46d77c010d469ce1742fe4933', '006065fbd81c8f7a9d1ffaf104c1777b', 'c3e0616ab2ca78f2da4081d22dbf8aaa', 'b4ad68eee23370906ca851645bf41c51']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
17,3342478879,238345847,100636,Surf Fabric Conditioner Luxe Perfume 25Ml 6 Sachet,25ML X 6,0,3600000,3600000,0,,Surf,317,2908,,2757,69,24,15,43,2908,4.88881239242685,299,10245,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['bbac321e0d691716476c7c043ee66e45', '99c3b6bf7ceb09200236baf06cc54872', '8428dba352afe62ca713ed39b8d9d1be']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
18,6536611542,238345847,100629,555 Tuna Afritada 155grams,155G/GR X 1,0,3000000,3000000,0,,555,426,4041,,3836,69,55,19,62,4041,4.882586078771365,327,17243,1,True,"Calamba City, Laguna",False,False,True,False,False,False,False,"['c765a9ffce8781298efcf1bfea7d0427', '2e336cdccdbe5b1fc325a010ab79508e', '1acb9d48c9be3eac7bb036bb47f0c73a', 'e0004bd67d2cc44ba8b7d2d50ea8ea88']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
