,date,category,category_names,brand,pack_size,pack_type,itemid,name,price_median,raw_discount,price_before_discount,units_sold,stock,status,item_page,low_price_guarantee,on_flash_sale,can_use_bundle_deal,can_use_cod,can_use_wholesale,show_free_shipping,like_count,comment_count,views,no_rating,star_1,star_2,star_3,star_4,star_5,rating,month,day,units_sold_diff
56145,2023-10-16 10:24:00,100629,Food & Beverage,Quaker,1KG X 1,single-pack,5447406497,Quaker Instant Oatmeal 1kg,243,0,,5998,1,1,3,True,False,False,True,False,False,884,2503,,2379,61,32,8,23,2503,4.9,October,16,6.0
56182,2023-10-16 10:24:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4807,75,1,4,False,False,False,True,False,False,377,1650,,1548,66,16,6,14,1650,4.9,October,16,8.0
56267,2023-10-16 10:24:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,4967,97,1,8,True,False,False,True,False,False,198,786,,750,15,10,2,9,786,4.91,October,16,8.0
56284,2023-10-16 10:24:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,3978,36,1,9,False,False,False,True,False,False,151,630,,586,22,12,2,8,630,4.87,October,16,0.0
57029,2023-10-17 12:56:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18460,782,1,61,True,False,False,True,False,False,1432,6541,,6204,193,62,22,60,6541,4.91,October,17,31.0
57060,2023-10-17 12:56:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8170,219,1,62,True,False,False,True,False,False,783,2950,,2779,92,43,12,24,2950,4.9,October,17,15.0
57100,2023-10-17 12:56:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4829,65,1,64,False,False,False,True,False,False,377,1657,,1555,66,16,6,14,1657,4.9,October,17,22.0
57183,2023-10-17 12:56:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,4980,98,1,68,True,False,False,True,False,False,198,789,,753,15,10,2,9,789,4.91,October,17,13.0
57201,2023-10-17 12:56:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,3992,29,1,69,False,False,False,True,False,False,151,632,,588,22,12,2,8,632,4.87,October,17,14.0
57956,2023-10-18 11:30:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18480,771,1,2,True,False,False,True,False,False,1434,6549,,6211,194,62,22,60,6549,4.91,October,18,20.0
57986,2023-10-18 11:30:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8186,195,1,5,True,False,False,True,False,False,783,2956,,2785,92,43,12,24,2956,4.9,October,18,16.0
58026,2023-10-18 11:30:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4839,57,1,9,False,False,False,True,False,False,377,1658,,1556,66,16,6,14,1658,4.9,October,18,10.0
58109,2023-10-18 11:30:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,4995,86,1,17,True,False,False,True,False,False,198,791,,755,15,10,2,9,791,4.91,October,18,15.0
58128,2023-10-18 11:30:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,3999,28,1,18,False,False,False,True,False,False,152,635,,591,22,12,2,8,635,4.87,October,18,7.0
58864,2023-10-19 16:01:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18500,760,1,2,True,False,False,True,False,False,1436,6559,,6221,194,62,22,60,6559,4.91,October,19,20.0
58893,2023-10-19 16:01:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8206,167,1,5,True,False,False,True,False,False,786,2965,,2793,93,43,12,24,2965,4.9,October,19,20.0
58932,2023-10-19 16:01:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4843,53,1,9,False,False,False,True,False,False,377,1659,,1557,66,16,6,14,1659,4.9,October,19,4.0
59016,2023-10-19 16:01:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5009,75,1,17,True,False,False,True,False,False,198,792,,756,15,10,2,9,792,4.91,October,19,14.0
59033,2023-10-19 16:01:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4017,22,1,18,False,False,False,True,False,False,152,637,,593,22,12,2,8,637,4.87,October,19,18.0
59769,2023-10-20 13:42:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18525,750,1,2,True,False,False,True,False,False,1437,6565,,6226,195,62,22,60,6565,4.91,October,20,25.0
59799,2023-10-20 13:42:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8221,165,1,5,True,False,False,True,False,False,788,2969,,2797,93,43,12,24,2969,4.9,October,20,15.0
59840,2023-10-20 13:42:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4849,49,1,9,False,False,False,True,False,False,377,1662,,1560,66,16,6,14,1662,4.9,October,20,6.0
59922,2023-10-20 13:42:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5010,64,1,17,True,False,False,True,False,False,198,792,,756,15,10,2,9,792,4.91,October,20,1.0
59940,2023-10-20 13:42:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4025,11,1,18,False,False,False,True,False,False,153,637,,593,22,12,2,8,637,4.87,October,20,8.0
60684,2023-10-20 15:05:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18529,749,1,2,True,False,False,True,False,False,1437,6567,,6227,196,62,22,60,6567,4.91,October,20,4.0
60714,2023-10-20 15:05:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8223,165,1,5,True,False,False,True,False,False,788,2969,,2797,93,43,12,24,2969,4.9,October,20,2.0
60755,2023-10-20 15:05:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4852,48,1,9,False,False,False,True,False,False,376,1663,,1560,67,16,6,14,1663,4.9,October,20,3.0
60837,2023-10-20 15:05:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5010,64,1,17,True,False,False,True,False,False,198,792,,756,15,10,2,9,792,4.91,October,20,0.0
60855,2023-10-20 15:05:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4025,11,1,18,False,False,False,True,False,False,153,637,,593,22,12,2,8,637,4.87,October,20,0.0
61592,2023-10-21 13:33:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18555,731,1,1,True,False,False,True,False,False,1437,6576,,6236,196,62,22,60,6576,4.91,October,21,26.0
61623,2023-10-21 13:33:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8242,155,1,2,True,False,False,True,False,False,788,2980,,2807,93,44,12,24,2980,4.9,October,21,19.0
61664,2023-10-21 13:33:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4863,48,1,4,False,False,False,True,False,False,376,1666,,1563,67,16,6,14,1666,4.9,October,21,11.0
61745,2023-10-21 13:33:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5015,60,1,8,True,False,False,True,False,False,198,792,,756,15,10,2,9,792,4.91,October,21,5.0
61763,2023-10-21 13:33:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4040,10,1,9,False,False,False,True,False,False,153,637,,593,22,12,2,8,637,4.87,October,21,15.0
62498,2023-10-21 16:54:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18561,731,1,61,True,False,False,True,False,False,1439,6579,,6239,196,62,22,60,6579,4.91,October,21,6.0
62529,2023-10-21 16:54:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8243,155,1,62,True,False,False,True,False,False,789,2980,,2807,93,44,12,24,2980,4.9,October,21,1.0
62570,2023-10-21 16:54:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4863,49,1,64,False,False,False,True,False,False,377,1667,,1564,67,16,6,14,1667,4.9,October,21,0.0
62651,2023-10-21 16:54:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5019,60,1,68,True,False,False,True,False,False,198,792,,756,15,10,2,9,792,4.91,October,21,4.0
62669,2023-10-21 16:54:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4040,10,1,69,False,False,False,True,False,False,153,637,,593,22,12,2,8,637,4.87,October,21,0.0
63398,2023-10-22 13:36:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18597,722,1,0,True,False,False,True,False,False,1439,6587,,6247,196,62,22,60,6587,4.91,October,22,36.0
63430,2023-10-22 13:36:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8269,147,1,1,True,False,False,True,False,False,790,2986,,2813,93,44,12,24,2986,4.9,October,22,26.0
63473,2023-10-22 13:36:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4874,47,1,2,False,False,False,True,False,False,378,1670,,1567,67,16,6,14,1670,4.9,October,22,11.0
63555,2023-10-22 13:36:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5028,59,1,4,True,False,False,True,False,False,198,794,,757,16,10,2,9,794,4.91,October,22,9.0
63574,2023-10-22 13:36:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4050,4,1,4,False,False,False,True,False,False,153,638,,594,22,12,2,8,638,4.87,October,22,10.0
64308,2023-10-22 13:46:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18597,722,1,30,True,False,False,True,False,False,1439,6587,,6247,196,62,22,60,6587,4.91,October,22,0.0
64340,2023-10-22 13:46:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8269,147,1,31,True,False,False,True,False,False,790,2986,,2813,93,44,12,24,2986,4.9,October,22,0.0
64383,2023-10-22 13:46:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4874,47,1,32,False,False,False,True,False,False,378,1670,,1567,67,16,6,14,1670,4.9,October,22,0.0
64465,2023-10-22 13:46:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5028,59,1,34,True,False,False,True,False,False,198,794,,757,16,10,2,9,794,4.91,October,22,0.0
64484,2023-10-22 13:46:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4050,4,1,34,False,False,False,True,False,False,153,638,,594,22,12,2,8,638,4.87,October,22,0.0
65215,2023-10-22 17:16:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18599,721,1,60,True,False,False,True,False,False,1440,6589,,6249,196,62,22,60,6589,4.91,October,22,2.0
65247,2023-10-22 17:16:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8272,146,1,61,True,False,False,True,False,False,790,2988,,2815,93,44,12,24,2988,4.9,October,22,3.0
65290,2023-10-22 17:16:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4875,46,1,62,False,False,False,True,False,False,378,1670,,1567,67,16,6,14,1670,4.9,October,22,1.0
65373,2023-10-22 17:16:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5042,58,1,64,True,False,False,True,False,False,198,796,,759,16,10,2,9,796,4.91,October,22,14.0
65392,2023-10-22 17:16:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4050,2,1,64,False,False,False,True,False,False,153,638,,594,22,12,2,8,638,4.87,October,22,0.0
66127,2023-10-22 17:23:00,100629,Food & Beverage,Quaker,800G/GR X 1,single-pack,4947412374,Quaker Instant Oatmeal 800g,132,0,,18599,721,1,90,True,False,False,True,False,False,1440,6589,,6249,196,62,22,60,6589,4.91,October,22,0.0
66159,2023-10-22 17:23:00,100629,Food & Beverage,Quaker,500G/GR X 1,single-pack,6647394097,Quaker Flavored Oatmeal Banana & Honey 500g,119,0,,8272,146,1,91,True,False,False,True,False,False,790,2988,,2815,93,44,12,24,2988,4.9,October,22,0.0
66202,2023-10-22 17:23:00,100629,Food & Beverage,Quaker,400G/GR X 1,single-pack,7147406016,Quaker Instant Oatmeal 400g,74,0,,4875,46,1,92,False,False,False,True,False,False,378,1670,,1567,67,16,6,14,1670,4.9,October,22,0.0
66285,2023-10-22 17:23:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,4847408605,Quaker Oaties Honey Nuts 28g,14,0,,5042,58,1,94,True,False,False,True,False,False,198,796,,759,16,10,2,9,796,4.91,October,22,0.0
66304,2023-10-22 17:23:00,100629,Food & Beverage,Quaker,28G/GR X 1,single-pack,5147412635,Quaker Oaties Apple and Cinnamon 28g,14,0,,4050,2,1,94,False,False,False,True,False,False,153,638,,594,22,12,2,8,638,4.87,October,22,0.0
