date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-09-11 12:33:00,8990471009,09112023-1233,238345847,100629,Bear Brand Fortified Powdered Milk Drink SWAK Pack of 8 - 33g,33G/GR X 8,0,9400000,9400000,0,,,1036,7293,,6893,212,85,24,79,7293,4.895336076817558,15056,52729,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-qvetmdh94wiv1f', 'sg-11134201-22100-21ueqjh94wiv30', 'fc8b2ef76feceda68197c7f6156889c3', 'ec1acd385615d3d2c445cbbf0af564af', '6d379c907d6a3d50fe882857ebbf9d49', '2f82a1b9196a0d98de90db740081be65']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,5357349147,09112023-1233,238345847,100629,Mega Sardines Tomato Sauce 155g,155G/GR X 1,2600000,2500000,2500000,4,4%,Mega,607,5273,,4865,180,81,51,96,5273,4.837098917790013,3529,52672,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['45954a4c84f5a06ca03c1caa5ba80d0f', 'efb87440161807b63cf2e4db3b095f76', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,13705400379,09112023-1233,238345847,100636,Mighty Clean Detergent Powder Original with Optical Brightener - Powder (Blue) - 500 Grams,500G/GR X 1,2500000,2000000,2000000,20,20%,,730,5905,,5166,449,148,46,96,5905,4.7851449889774464,14179,52777,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['1c9ef4d616ce9a6606ca0ccfadc67f2f', '4383ce30ebcd5fbdada473fd378d5601', 'b73c23b9b14835137e496d43d1e3538e', '0ace6cb03039b44a93a17563e846e8ad', '392ceae7e6378e618587b732c35b9304', '18ea3fb457eb4e25e53a225fbdbac7f2', '6f6f32768684b43a14fae1682da806ad']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,4534782770,09112023-1233,238345847,100629,BEAR BRAND Powdered Milk Drink  300g,300G/GR X 1,0,13000000,13000000,0,,Bear Brand,1598,11215,,10547,378,140,54,96,11215,4.894459809081988,11476,58510,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22110-l5eczcyaeljv13', 'sg-11134201-22110-lws0zbwaeljv5e', 'sg-11134201-22110-bnpjed5aeljvc7', 'sg-11134201-22110-9j1ipqsaeljv8e', 'sg-11134201-22110-38eixj7aeljvd1', 'sg-11134201-22110-dy50aqabeljvce', 'sg-11134201-22110-pn1oj7cbeljv8c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,10185573248,09112023-1233,238345847,100629,Mega Corned Sardines in Tomato Sauce 155g,155G/GR X 1,0,1600000,1600000,0,,,689,4165,,3666,260,103,55,82,4166,4.769803168506961,8440,57733,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['24dd37681174d93cc2b0bb5e0780ed07', '7f1ff3f2ba163b76b7af6d1d59182f67', '0c87434898a6f5025a0c0ff8ab9888f8']","[{'name': '155G', 'options': ['GREEN'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,7591877491,09112023-1233,238345847,100636,Tisyu Coreless Compact Tissue Paper 10's 30g,30G/GR X 10,0,5800000,5800000,0,,,4720,15230,,14187,589,241,80,133,15230,4.880626480652803,3596,59390,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['5ed3e13a3a4216ea6af71642bc2ed934', 'e42723b2de1e80c51cd3f346e0df8f8a', '5cec3f80b3c71a81ce676881956fa5ff', '3cdf5401e617b2fcf3f2675f712fc41f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,3634981326,09112023-1233,238345847,100629,Chuckie Opti-Grow Flavoured Milk Baon Saver's Pack 6's  (110ml),110ML X 6,0,8500000,8500000,0,,Chuckie,4533,10686,,10075,286,134,60,131,10686,4.884809889492415,6873,40239,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['79a0dd3f16b4941dc4f0fa81f5185c0b', '65083ce74446ab27f098be0955e32879', '6f225fae7d45e7cdd415011636dee02c', 'b24f5d449fcddc773e4ea86817214cc3', '294444bb2f0b0b87c3c910b63de09b7d']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,8348384922,09112023-1233,238345847,100629,Bear Brand Fortified Powdered Milk Drink 2.4kg,2.4KG X 1,0,85000000,85000000,0,,Bear Brand,2060,15565,,14799,396,161,53,156,15565,4.9052801030264,11627,52558,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['566c592a53ffa13c602085c76182f37a', 'sg-11134201-22100-pz6wi8j34wiv9c', 'sg-11134201-22100-wdyqy7j34wiv35', '32e2a56a10403d8a3c18b9fb63f7d9e3', 'sg-11134201-22100-ytils8j34wiv52']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,21637581481,09112023-1233,238345847,100630,DEOplus Pink - Tawas Powder with Licorice Extract 50g,50G/GR X 1,0,1600000,1600000,0,,,1141,6002,,5451,320,118,51,62,6002,4.84055314895035,4145,33158,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['87631ba39e714d381ca61bf3171eec26', '32b57281af864874b3db3b60808913b0', '4407ca70a091510cecfc7895f40d4dd2']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,9214617902,09112023-1233,238345847,100629,Alaska Krem-Top Non-Dairy Coffee Creamer 450g,450G/GR X 1,0,10900000,10900000,0,,Krem-Top,529,3194,,3008,114,37,9,26,3194,4.901346695897275,1310,16594,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['sg-11134201-22100-af4ku3vgekiv25', 'e873f9ecad8a0d43da17d22b945f022a', '90bf8fffdb8963101191410ab2fe6079', '54a1c2d61cc221dca08b89ae7cbe1ed4', 'f183e36b7d7890bb4eb09ffe0fc3adc8']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,7436632431,09112023-1233,238345847,100629,Argentina Meat Loaf 150g,150G/GR X 1,0,2300000,2300000,0,,Argentina,804,6563,,6120,197,113,37,96,6563,4.861585365853658,453,41692,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['026a5868f155320487aaae02cee35c05', '690f25d335990efecac14bc20b2b8302', 'c40cf87dc79ec6e9108f17ea11ae3c42', 'b1554094cc17b370d0126ee401a03eb7', '9468de55c81db4e2acfebf78f07718de', 'ba5f132b4542c537a41001c075beb0ae', 'c94a9d01feab5bfc75bd54bf9729ff95']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,15213079078,09112023-1233,238345847,100630,DEOplus Tawas Powder for Underarm & Foot (50g),,0,1400000,1400000,0,,,1495,7953,,7350,359,139,38,67,7953,4.872720412526726,6331,47964,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['cf77adeef22c6b10de7dba1021545d87', '7d98c016daef6ce03c121bb4030cc8b0', 'c030ac0417ecbb78502ca582cddcb0b8']","[{'name': 'Color', 'options': ['White'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,5823600892,09112023-1233,238345847,100630,KERATINplus Gold Intense Brazilian Hair Treatment 20g 12 Pieces,20G/GR X 12,0,7900000,7900000,0,,Keratin Plus,2738,10799,,10267,290,101,38,103,10799,4.905732012223354,1669,41637,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['d454363ae0149395cab1d46c98630b66', '6b091a6ae4c562e2dcec1b8d0809233e', '6d5d50049f9d16bc90e49f154f0bda0f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,19728656479,09112023-1233,238345847,100631,Pedigree Pouch Puppy Beef Egg Loaf with Veg 80g,80G/GR X 1,0,2700000,2700000,0,,,487,1463,,1341,80,18,6,18,1463,4.859193438140807,8695,25416,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['5300d3833efc014f87114a73dc29f3f0', 'cdbf34725f734ceaad77489975b4fdb5', '2457894f1b33068682b0a7e3529b0871', '70bb4a964fab05309ce527fbc6ae44ce']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,7857364712,09112023-1233,238345847,100629,Mega Mackerel in Natural Oil 155g,155G/GR X 1,3300000,3200000,3200000,3,3%,Mega,488,4010,,3705,125,80,39,61,4010,4.842696629213483,181,23031,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['dd729b582101452fe4786c0e21b0d39f', 'fd5cedcfd2ebf4f16250472fb8941710', 'b346ddee0ccf3eaccfe60c3b557c3ffa', '14f26f41c8d0a40f0bf99c14ec08936f']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,5245819953,09112023-1233,238345847,100631,Pedigree Adult Beef in Gravy Flavor 80g,80G/GR X 1,0,2600000,2600000,0,,Pedigree,639,2719,,2550,99,33,12,25,2719,4.891424365108576,4117,32284,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['f6d2d9b7d35524d5972ed712ec5c1050', 'b3e2ccd605731ae2a0177de28733cb6c', 'eb4c0779e2f6625a2310ec24ce3c3644', '4637d111f206a2647bd2d469659834bb', '384162fdef4b60054717474c8fc3adfc']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,19340115737,09112023-1233,238345847,100630,Cream Silk Treatment Keratin Rebond Straight 18ml 6 Sachet,18ML X 6,0,4500000,4500000,0,,,376,1500,,1381,73,21,6,19,1500,4.860666666666667,219,9520,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['9058c14c6440d039d9ce55ffc9e44583', '0daf62be022d9ca6dac201bb42954d7d', '225ceaffaad89e0c986a29176aedd626']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,3397302858,09112023-1233,238345847,100629,Wafertime Rich Cream Wafers Choco 27g x 10pieces,27G/GR X 10,0,7900000,7900000,0,,,593,2992,,2793,105,41,13,40,2992,4.870989304812834,803,10645,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ce35b466fa1c49b325357d39109ac8ac', '74e72b96b5948dcda467b2c4d69f9bf7', '83b34bc78966b27809165068d991f887']","[{'name': 'Option', 'options': ['1'], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,8377114272,09112023-1233,238345847,100629,Nutella Spread 200 Grams,200G/GR X 1,0,17500000,17500000,0,,,1830,3330,,3107,144,38,5,36,3330,4.886186186186186,4144,10585,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['0bfefd9529a44b5e4f119bbdd9ffd049', '27f49cf2c333972ee8c1f6fbbe3e60ec', '79d6b25d68e3b50f202bb4845a56fb32', 'ca544a43fa01bd05ab23c0609c7e41e6']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-09-11 12:33:00,5534811285,09112023-1233,238345847,100629,Milo Activ-Go Choco Malt Powdered Milk Drink  300g,300G/GR X 1,0,11000000,11000000,0,,Nestle,1287,5893,,5545,183,82,23,60,5893,4.8893414799728445,191,16819,1,True,"Calamba City, Laguna",False,False,True,False,True,False,False,"['70f0c54c700106be6c312dd0b3265131', '06aabc304f0b51531eaa9bffd3251882', '564c28d8ea244459d3363e2fd36f0826', '5800b0a70ddfdadb255c3c8b1f9d09b0']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
