date,itemid,date_collected,shopid,category,name,pack_size,price_before_discount,price_min,price_max,raw_discount,discount,brand,like_count,comment_count,views,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,low_price_guarantee,shop_location,shop_is_on_flash_sale,shop_is_preferred_plus_seller,feature_lowest_price_guarantee,feature_can_use_bundle_deal,feature_can_use_cod,feature_can_use_wholesale,feature_show_free_shipping,product_image_variation,product_text_variation
2023-10-01 07:53:00,7342361627,10012023-0753,238345847,100630,Eskinol Deep Cleanser Classic White 135ml,135ML X 1,6800000,6500000,6500000,4,4%,Eskinol,101,346,,322,12,5,3,4,346,4.864161849710983,200,1008,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['8c3b259bb4cf1fb83e53c4886d0c044e', 'f36c61da89b4722de832833a55077c14', '3d15d00030aaad8d6e12c4d5f2a3c005', 'a4e2ea9e428749b7249f14cd4bb1a93c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,18955605979,10012023-0753,238345847,100630,Maxi-Peel Exfoliant Solution 60ml Set #1 Mild,60ML X 1,0,6200000,6200000,0,,,15,54,,49,3,1,0,1,54,4.833333333333333,60,217,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['9a8ad4468e8c539c84c0378740dcd272', '7d7066d49a3eedfd412ca23b44293adb', 'c51f81daf97f78e6f2e9689a65b0e3b4', '7653eda6d68e7da470f4b13633446f98', '473cda7b58c1612478f11c7e370460f3']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5539062961,10012023-0753,238345847,100636,Ariel Liquid Detergent Sunrise Fresh Bottle 2.7kg,3KG X 1,0,56900000,56900000,0,,Ariel,133,316,,294,12,4,3,3,316,4.870253164556962,43,1243,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['sg-11134201-23010-2s5mf0j03pmvd0', 'f543757859b1a090993b0446b712ff26', 'ef39a81b22abed4e4c4e164c6e7b7fd8', '10bf2536d481baa7846614f9fe0c304a', 'cf98dafbfdd3178348ee6b8655e9075e', '2a3bdc8e50f1f6bdb165110c3b7a7e5c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,5641191287,10012023-0753,238345847,100636,Joy Dishwashing Liquid Kalamansi Refill 355mL,355ML X 1,0,10900000,10900000,0,,Joy,67,492,,472,4,5,4,7,492,4.890243902439025,44,1202,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['9a562bbb32cd2c9bf9136811a8323492', 'db7ef424d1f0ef0027975cc5f6b68509', 'b8c86dbf980a8ca200910a1bd93f6fa6', '8833fa6ccccc35df8c47ca7144ff81a1', '94e84193339cff919831229f59373390']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,10632996667,10012023-0753,238345847,100001,Modess Ultra Thin All Night Sanitary Napkins 10S,10Piece X 1,15300000,13800000,13800000,10,10%,,42,178,,167,5,1,1,4,178,4.870056497175141,152,678,1,False,"Calamba City, Laguna",False,False,False,True,True,False,False,"['2b424731747994f9fea50053adf25d57', 'c16df4c074999e8055ad148f3abe453a', 'd9b3dd9c1f011161c0101061ec1739c2']","[{'name': 'V1', 'options': ['O1'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,23020714213,10012023-0753,238345847,100630,Belo Whitening Beauty Deo Roll On 40mL Buy 2 Take 2,40ML X 2,0,30000000,30000000,0,,,47,110,,101,3,2,0,4,110,4.790909090909091,278,373,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['ph-11134207-23010-37cyba3ctymv87', 'ph-11134207-23010-uwbgmlcumxmv29', 'ph-11134207-23010-70plqyhumxmv44', 'ph-11134207-23010-70tgh8numxmv64']","[{'name': 'Bundle ', 'options': ['Bundle of 2 '], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,21055922247,10012023-0753,238345847,100630,SkinWhite Advanced Power Whitening Facial Cleanser 135mL,135ML X 1,0,5200000,5200000,0,,,20,141,,129,7,1,0,4,141,4.822695035460993,133,495,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['72d0a55eba098d6c1a23ea68cecbf1f9', 'a708ff39f7dbcae30f7c72803f184be2', 'e0f11a986c7e1510281bd091e26d17fc', '6a58858e71a8db329a2dda8a7169b7dc', '77f5dc9d84a2831cb058591fd7d5bed1']","[{'name': 'Default', 'options': ['Default'], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,3020350498,10012023-0753,238345847,100632,Enfagrow A+ Four NuraPro 3.6kg Powdered Milk Drink for Kids 3+ Years,3.45KG X 1,0,365000000,365000000,0,,Enfagrow,29,66,,62,2,1,0,1,66,4.878787878787879,1532,263,1,False,"Liloan, Cebu",False,False,False,False,True,False,False,"['56783ce3f7375e5b1cfc2a874d4faf90', 'ph-11134207-7r98p-llogeurbhfqpec', 'abf714c861dcf53075a557023711cf6c', 'a4399e10323a1c06ccb1592df55bf782', 'a7d0c4b94ebea6914ebe33f5b11d7afa', 'b52e6d582907d94594924aa0d15a4570', 'a0064f6fa349d50212791417905fbe22', '4d6580cbd7ee5a90a68b48e4e509af34', '3ee9e9bb9394b80acfd1966a6e236762']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,4429777281,10012023-0753,238345847,100630,Pantene Hair Fall Control Shampoo 900mL,900ML X 1,0,48900000,48900000,0,,Pantene,260,987,,911,27,17,10,22,987,4.821501014198783,121,2383,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['sg-11134201-22110-rw5inp0drfkvd7', '6127d6d732854301b87ada4a5130dbe9', 'a3a33a75b0e1f65d40bfcadbe70fad80', 'a22597fe492371e5f2e65541c06768b6', '21a0b231b1ac98e61fc61fb37aad92fa', '01eef792b52ba11c1d891947f6832ab0', '76f844a039f3a202d5beaede88f77ba3', 'bef170edea6341b5c5a00ba2b02e9a00', 'c5457f5a7e0ea69aa7b38aac31f10730']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
2023-10-01 07:53:00,7157353614,10012023-0753,238345847,100629,Mega Sardines Extra Hot 155g,155G/GR X 1,2800000,2700000,2700000,4,4%,Mega,117,708,,653,21,14,2,18,708,4.820621468926554,656,3767,1,False,"Calamba City, Laguna",False,False,False,False,True,False,False,"['93e5b80d3373d576f3583e78f0df5335', '37b5ec679cf2d032aff87c7be07b9a64', '980790d62d85d43627dff99960d1232d', 'c27e40ababd951b9aec67bd694e19f9c']","[{'name': '', 'options': [''], 'images': None, 'properties': [], 'type': 0}]"
